"rules","support","confidence","coverage","lift","count","imbalance","kulczynski"
"{1_resp=Hace rato,RT_popular=amigos medios} => {difusion=alta}",0.0145670353385487,0.270885587497588,0.0537756012533461,1.04042777931747,1404,0.689606206490493,0.163417608445534
"{1_resp=Hace rato,n_char=corto} => {difusion=alta}",0.0154593181299413,0.26616648803144,0.0580813844908801,1.0223024806506,1490,0.66762550510239,0.162771615738044
"{1_resp=Hace rato,retweet_source=Twitter for Android} => {difusion=alta}",0.0186860617127679,0.281142678738682,0.0664646925774522,1.07982360971514,1801,0.629246775985723,0.176456411498137
"{1_resp=Hace rato,fecha_inicio_T_momento=Tarde} => {difusion=alta}",0.0262497146770144,0.360244909582799,0.0728663028366292,1.38364249921931,2530,0.610775002534897,0.230532911474272
"{1_resp=Hace rato,n_char=largo} => {difusion=alta}",0.0317175406196178,0.357920618194591,0.0886161316428379,1.37471527149243,3057,0.541336908888744,0.239871283832292
"{1_resp=Hace rato,fecha_inicio_T_momento=Noche} => {difusion=alta}",0.0258658255690897,0.302108579738245,0.085617646448507,1.16035024835943,2493,0.54587884484491,0.20072751852936
"{1_resp=Hace rato,polaridad=Neutro} => {difusion=alta}",0.0282729140295906,0.300474142683868,0.0940943329667365,1.15407263968106,2725,0.509733443603283,0.204532918954909
"{1_resp=Hace rato,retweet_es_finde=Finde} => {difusion=alta}",0.0455998007926791,0.364367434919582,0.125147849183458,1.39947645303336,4395,0.397790055248619,0.269754451499801
"{1_resp=Hace rato,retweet_verified=Sin verificar} => {difusion=alta}",0.0428399493681393,0.278873429690666,0.153617895457658,1.07110779072471,4129,0.287607279639932,0.221707377155048
"{1_resp=tranqui,RT_popular=muchos} => {difusion=alta}",0.0149301736838829,0.352869053457577,0.0423108049220809,1.35531302743079,1439,0.757797569682328,0.205106719284778
"{retweet_source=Twitter for iPhone,RT_popular=muchos} => {difusion=alta}",0.0220269344898425,0.432294848299735,0.0509534975410346,1.66037467397884,2123,0.723872032135428,0.258448372583756
"{retweet_verified=Verificados,RT_popular=muchos} => {difusion=alta}",0.0161025917702476,0.337831954723552,0.0476645016704364,1.29755796047523,1552,0.728603923798692,0.199839704149056
"{1_resp=desde el pasado,RT_popular=muchos} => {difusion=alta}",0.0241331368927808,0.494367693942614,0.0488161689942105,1.89878644606587,2326,0.742146835074437,0.293529586988841
"{retweet_source=Twitter Web App,RT_popular=muchos} => {difusion=alta}",0.016476105496877,0.316460741331208,0.0520636633396277,1.21547458240952,1588,0.703828355069415,0.189871400393826
"{polaridad=Negativo,RT_popular=muchos} => {difusion=alta}",0.0178352804465564,0.379051819184124,0.0470523541740159,1.45587680069356,1719,0.736617699749194,0.223777125022045
"{n_char=medio,RT_popular=muchos} => {difusion=alta}",0.0149509244464734,0.30247691015953,0.049428316490631,1.16176494600286,1441,0.715416827955097,0.17995049779914
"{polaridad=Positivo,RT_popular=muchos} => {difusion=alta}",0.0180116619285759,0.349577124446234,0.0515241435122741,1.34266925991779,1736,0.710634091230052,0.209378504041879
"{n_char=corto,RT_popular=muchos} => {difusion=alta}",0.0167666161731444,0.295483635033827,0.0567429603037912,1.13490490602655,1616,0.677963174076761,0.179940749532535
"{retweet_source=Twitter for Android,RT_popular=muchos} => {difusion=alta}",0.0211242763171547,0.379921627169248,0.0556016683613123,1.45921759264471,2036,0.694478657141852,0.230528279911236
"{fecha_inicio_T_momento=Tarde,RT_popular=muchos} => {difusion=alta}",0.0259384532381565,0.317540962784199,0.0816853769376024,1.21962353849792,2500,0.565234516033742,0.208583185624187
"{retweet_es_finde=Laborable,RT_popular=muchos} => {difusion=alta}",0.0215289161876699,0.296343901742359,0.0726484198294287,1.13820905147573,2075,0.60264481529596,0.189516495383812
"{n_char=largo,RT_popular=muchos} => {difusion=alta}",0.0343010105621382,0.362858083635166,0.0945300989811375,1.39367927858949,3306,0.517265930936276,0.247301361894095
"{fecha_inicio_T_momento=Noche,RT_popular=muchos} => {difusion=alta}",0.0299744765620137,0.340523338048091,0.0880247349090079,1.30789512902491,2889,0.541236273583369,0.227825230034645
"{polaridad=Neutro,RT_popular=muchos} => {difusion=alta}",0.0301508580440331,0.295295193577888,0.102104127326679,1.13418113283749,2906,0.476224671391551,0.205549884188323
"{retweet_es_finde=Finde,RT_popular=muchos} => {difusion=alta}",0.0444688842314955,0.347353918469892,0.128021829802245,1.33413028492728,4286,0.384801037801309,0.259075859370437
"{retweet_verified=Sin verificar,RT_popular=muchos} => {difusion=alta}",0.0499055840302131,0.326101694915254,0.153036874105123,1.25250392760509,4810,0.295256036992636,0.258890490400163
"{1_resp=tranqui,retweet_source=Twitter for iPhone} => {difusion=alta}",0.0149820505903592,0.331268639596238,0.0452262870660497,1.27234932739159,1444,0.740297761433825,0.194406137762572
"{1_resp=tranqui,retweet_verified=Verificados} => {difusion=alta}",0.0205328795833247,0.426600560465618,0.0481313938287232,1.63850383433479,1979,0.737010881314405,0.252732016902929
"{1_resp=tranqui,retweet_source=Twitter Web App} => {difusion=alta}",0.0132493619140503,0.276347111014932,0.0479446369654085,1.06140460882447,1277,0.719917012448133,0.163617884829216
"{1_resp=tranqui,polaridad=Negativo} => {difusion=alta}",0.0160610902450665,0.313233508700931,0.0512751343611878,1.20307930324433,1548,0.707385565852289,0.187460780810974
"{1_resp=tranqui,n_char=medio} => {difusion=alta}",0.0145877861011392,0.284040404040404,0.0513581374115499,1.0909533044641,1406,0.703401075494099,0.170034866880328
"{1_resp=tranqui,polaridad=Positivo} => {difusion=alta}",0.0156668257558465,0.3017585931255,0.0519184080014941,1.15900600632111,1510,0.702742409402547,0.180966169918931
"{1_resp=tranqui,RT_popular=muy muchos} => {difusion=alta}",0.0240708846050092,0.452594615684744,0.0531842045195161,1.73834280102523,2320,0.715698924731183,0.272523497369749
"{1_resp=tranqui,retweet_es_finde=Laborable} => {difusion=alta}",0.0281172833101616,0.282851476881328,0.099406528189911,1.08638682732032,2710,0.485312060065697,0.195422709828246
"{1_resp=tranqui,n_char=largo} => {difusion=alta}",0.0298499719864705,0.328687307208957,0.0908157124774335,1.26243484671291,2877,0.527639651275428,0.221668113634765
"{1_resp=tranqui,fecha_inicio_T_momento=Noche} => {difusion=alta}",0.0303376149073478,0.299897435897436,0.10115996762881,1.15185760208284,2924,0.480701754385965,0.208209656818567
"{1_resp=tranqui,retweet_es_finde=Finde} => {difusion=alta}",0.0298603473677658,0.285742652899126,0.104500840405885,1.09749136732779,2878,0.465250247770069,0.200215711561542
"{retweet_source=Twitter for iPhone,retweet_verified=Verificados} => {difusion=alta}",0.0204913780581436,0.599757060431218,0.0341661306052998,2.3035699768264,1975,0.825420263516583,0.339230566558958
"{1_resp=desde el pasado,retweet_source=Twitter for iPhone} => {difusion=alta}",0.0291133199145069,0.501878018243606,0.0580087568218132,1.92763238839385,2806,0.699558807704724,0.306848788351898
"{polaridad=Negativo,retweet_source=Twitter for iPhone} => {difusion=alta}",0.0196820983171132,0.367493219682294,0.0535577182461455,1.4114820873284,1897,0.702845657463239,0.221544489812455
"{n_char=medio,retweet_source=Twitter for iPhone} => {difusion=alta}",0.0155630719428939,0.328371278458844,0.0473947417567596,1.26122103133898,1500,0.728854484766707,0.194073261768674
"{polaridad=Positivo,retweet_source=Twitter for iPhone} => {difusion=alta}",0.0185200556120437,0.350963429020842,0.0527691892677056,1.3479938318278,1785,0.704631097024124,0.211047985332131
"{retweet_source=Twitter for iPhone,RT_popular=muy muchos} => {difusion=alta}",0.0269967421302733,0.677427753189274,0.0398518395551037,2.60189055981065,2602,0.807086165647667,0.390558939159393
"{n_char=corto,retweet_source=Twitter for iPhone} => {difusion=alta}",0.0225249527920151,0.276243796920728,0.0815401215994688,1.06100779607929,2171,0.559905139367163,0.181379250815509
"{fecha_inicio_T_momento=Tarde,retweet_source=Twitter for iPhone} => {difusion=alta}",0.0272872528065406,0.333798705419469,0.081747629225374,1.28206690148001,2630,0.567346669742609,0.219302317561891
"{retweet_es_finde=Laborable,retweet_source=Twitter for iPhone} => {difusion=alta}",0.0249112904899255,0.284647302904564,0.08751634122554,1.09328430495528,2401,0.53517733230532,0.190163772596779
"{n_char=largo,retweet_source=Twitter for iPhone} => {difusion=alta}",0.036189329957876,0.392350956130484,0.0922371397148845,1.50695663719488,3488,0.531348373557188,0.26567416300985
"{fecha_inicio_T_momento=Noche,retweet_source=Twitter for iPhone} => {difusion=alta}",0.036863729742068,0.339934940681209,0.108443485298085,1.30563518979582,3553,0.457662613696746,0.240761285595247
"{polaridad=Neutro,retweet_source=Twitter for iPhone} => {difusion=alta}",0.0360648253823328,0.314086925092618,0.114824344794671,1.20635713773319,3476,0.429157105705981,0.226303046510603
"{retweet_es_finde=Finde,retweet_source=Twitter for iPhone} => {difusion=alta}",0.0493556888215642,0.369332298136646,0.133634911082982,1.41854569056373,4757,0.367703284462775,0.279449762681139
