"rules","support","confidence","coverage","lift","count"
"{n_char=largo,RT_popular=muy muchos} => {retweet_es_finde=Finde}",0.0617438940881077,0.64628583840139,0.095536510966778,1.05977374954153,5951
"{polaridad=Neutro,RT_popular=muy muchos} => {fecha_inicio_T_momento=Noche}",0.0608412359154199,0.472674512332742,0.128716980349028,1.0349936353603,5864
"{retweet_verified=Sin verificar,RT_popular=muy muchos} => {fecha_inicio_T_momento=Noche}",0.0453611670228881,0.495130237825595,0.0916146168371688,1.08416390444843,4372
"{retweet_verified=Sin verificar,RT_popular=muy muchos} => {polaridad=Neutro}",0.0491585565769542,0.536579841449604,0.0916146168371688,1.06863598054749,4738
"{retweet_verified=Sin verificar,RT_popular=muy muchos} => {retweet_es_finde=Finde}",0.0580502583469943,0.633635334088335,0.0916146168371688,1.03902956547803,5595
"{fecha_inicio_T_momento=Noche,retweet_source=TweetDeck,RT_popular=muy muchos} => {retweet_verified=Verificados}",0.0202734950509431,0.777556705133307,0.0260733331949949,3.46634923007208,1954
"{fecha_inicio_T_momento=Noche,retweet_verified=Verificados,RT_popular=muy muchos} => {retweet_source=TweetDeck}",0.0202734950509431,0.275949724615167,0.0734680749517545,3.33918221693146,1954
"{polaridad=Neutro,retweet_source=TweetDeck,RT_popular=muy muchos} => {retweet_verified=Verificados}",0.0219024299142993,0.774678899082569,0.0282729140295906,3.45351996537355,2111
"{polaridad=Neutro,retweet_verified=Verificados,RT_popular=muy muchos} => {retweet_source=TweetDeck}",0.0219024299142993,0.275264050071717,0.0795687991533689,3.33088508148302,2111
"{retweet_es_finde=Finde,retweet_source=TweetDeck,RT_popular=muy muchos} => {retweet_verified=Verificados}",0.0252225519287834,0.773218829516539,0.0326201987923056,3.44701097254686,2431
"{retweet_es_finde=Finde,retweet_verified=Verificados,RT_popular=muy muchos} => {retweet_source=TweetDeck}",0.0252225519287834,0.254955427372837,0.0989292606503289,3.08513672329551,2431
"{1_resp=desde el pasado,adherencia=muy_alta,RT_popular=muy muchos} => {difusion=alta}",0.0264572223029196,0.965909090909091,0.0273910066194933,3.70990077309317,2550
"{adherencia=muy_alta,difusion=alta,RT_popular=muy muchos} => {1_resp=desde el pasado}",0.0264572223029196,0.377330571174904,0.0701168267933847,1.88649627092954,2550
