"rules","support","confidence","coverage","lift","count","imbalance"
"{adherencia=muy_alta} => {difusion=alta}",0.159189475213214,0.951267902535805,0.16734452491129,3.65366633387288,15343,0.346406491499227
"{1_resp=tranqui} => {difusion=alta}",0.0595339378722168,0.297675866362316,0.199995849847482,1.14332491239869,5738,0.15060053841375
"{1_resp=desde el pasado} => {difusion=alta}",0.0854412649664875,0.427170868347339,0.200016600610072,1.64069429477378,8235,0.160943077731964
"{1_resp=hace un ratín} => {difusion=alta}",0.0654167790666307,0.327056748625376,0.200016600610072,1.25617213461429,6305,0.152783250584496
"{RT_popular=muchos} => {difusion=alta}",0.0659978004191654,0.328886820743498,0.200670249631674,1.26320114596716,6361,0.151100488522351
"{retweet_source=Twitter for iPhone} => {difusion=alta}",0.0742669793114897,0.335819845179451,0.221151252308522,1.28982977277779,7158,0.0962778018394436
"{retweet_verified=Verificados} => {difusion=alta}",0.082339025959204,0.367067530064755,0.224315743603577,1.40984708227868,7936,0.0895868791582856
"{polaridad=Negativo} => {difusion=alta}",0.0699508206926605,0.28370644672614,0.24656056110062,1.08967062837168,6742,0.0315794472409535
"{polaridad=Positivo} => {difusion=alta}",0.0685501442178,0.272734778121775,0.251343611877737,1.04753022176349,6607,0.0203455703315226
"{RT_popular=muy muchos} => {difusion=alta}",0.104417837355523,0.412239380657846,0.253294183561246,1.58334486277853,10064,0.0172654209872474
"{adherencia=alta} => {difusion=alta}",0.0941669606358034,0.33769906236047,0.278848747691478,1.29704754237773,9076,0.0415442719261435
"{n_char=largo} => {difusion=alta}",0.129671515428192,0.298859370142758,0.433888070386587,1.1478705592213,12498,0.3073601029128
"{fecha_inicio_T_momento=Noche} => {difusion=alta}",0.122543628478347,0.268328145943613,0.456693158473574,1.03060505946988,11811,0.330244328097731
"{retweet_es_finde=Finde} => {difusion=alta}",0.173497126019381,0.284499038739643,0.60983378639165,1.09271484625027,16722,0.501615809617418
"{adherencia=muy_alta,fecha_inicio_T_momento=Mañana} => {difusion=alta}",0.0241538876553713,0.967581047381546,0.0249631673964018,3.71632248779502,2328,0.901318925790561
"{fecha_inicio_T_momento=Mañana,retweet_es_finde=Finde} => {difusion=alta}",0.0266647299288249,0.292244712303844,0.0912411031105393,1.12246472707695,2570,0.520467462800945
"{1_resp=tranqui,adherencia=muy_alta} => {difusion=alta}",0.0314581560872362,0.953459119496855,0.0329937125189351,3.66208244422356,3032,0.868156247523968
"{1_resp=desde el pasado,adherencia=muy_alta} => {difusion=alta}",0.061712767944222,0.949401436552274,0.0650017638148202,3.6464975395625,5948,0.740978316477116
"{1_resp=hace un ratín,adherencia=muy_alta} => {difusion=alta}",0.0414600236558694,0.958273381294964,0.043265340001245,3.68057324603376,3996,0.828082950767769
"{adherencia=muy_alta,RT_popular=muchos} => {difusion=alta}",0.0431823369508829,0.943550215370664,0.0457658068934033,3.62402394428371,4162,0.816122795249181
"{adherencia=muy_alta,retweet_source=Twitter for iPhone} => {difusion=alta}",0.0529663215123156,0.949237634808479,0.0557988006059223,3.64586840352717,5105,0.777230259786336
"{adherencia=muy_alta,retweet_verified=Verificados} => {difusion=alta}",0.0508601191093773,0.970693069306931,0.0523956755410761,3.7282752612553,4902,0.794073369780524
"{adherencia=muy_alta,retweet_source=Twitter Web App} => {difusion=alta}",0.0343010105621382,0.966384098216896,0.0354941794110934,3.7117251994238,3306,0.859732635169979
"{adherencia=muy_alta,polaridad=Negativo} => {difusion=alta}",0.0431823369508829,0.971068595426972,0.0444688842314955,3.72971759641517,4162,0.825124910778016
"{adherencia=muy_alta,n_char=medio} => {difusion=alta}",0.0382021539291569,0.950438822922044,0.0401942271378473,3.65048197301636,3682,0.839199557067152
"{adherencia=muy_alta,polaridad=Positivo} => {difusion=alta}",0.0426946940300056,0.958983919832207,0.0445207611379718,3.68330230976599,4115,0.823229125445192
"{adherencia=muy_alta,RT_popular=muy muchos} => {difusion=alta}",0.0701168267933847,0.961855963563905,0.072897428980515,3.69433336575342,6758,0.712404384512262
"{adherencia=muy_alta,RT_popular=amigos medios} => {difusion=alta}",0.0304102425764147,0.946705426356589,0.032122180490133,3.63614259994823,2931,0.870897501880518
"{adherencia=muy_alta,n_char=corto} => {difusion=alta}",0.0470316034114254,0.922091131000814,0.051005374447511,3.54160306798918,4533,0.792008478235271
"{adherencia=muy_alta,retweet_source=Twitter for Android} => {difusion=alta}",0.0496565748791268,0.933125365568337,0.0532153306634019,3.58398378035417,4786,0.784880292487322
"{adherencia=muy_alta,fecha_inicio_T_momento=Tarde} => {difusion=alta}",0.0603743437571331,0.956443129520053,0.0631238198003777,3.67354354464819,5819,0.74963523798257
"{adherencia=muy_alta,retweet_es_finde=Laborable} => {difusion=alta}",0.0504451038575668,0.94352804191733,0.0534643398144882,3.62393877963163,4862,0.785542643293284
"{adherencia=muy_alta,n_char=largo} => {difusion=alta}",0.0739660932539271,0.97125340599455,0.0761552987072275,3.73042742394862,7129,0.701600474214582
"{adherencia=muy_alta,fecha_inicio_T_momento=Noche} => {difusion=alta}",0.0746612438007097,0.942008116245582,0.079257537714511,3.61810099067433,7196,0.683518032658496
"{adherencia=muy_alta,polaridad=Neutro} => {difusion=alta}",0.0733124442323255,0.935646186440678,0.0783548795418232,3.59366584607976,7066,0.685770132916341
"{adherencia=muy_alta,retweet_es_finde=Finde} => {difusion=alta}",0.108744371355647,0.954901603498542,0.113880185096802,3.66762279223705,10481,0.551721442807456
"{adherencia=muy_alta,retweet_verified=Sin verificar} => {difusion=alta}",0.108329356103837,0.942413575232422,0.114948849370214,3.61965829313985,10441,0.544652572672159
"{1_resp=tranqui,retweet_verified=Verificados} => {difusion=alta}",0.0208856425473636,0.444861878453039,0.0469486003610633,1.70864260656176,2013,0.745091646743462
"{1_resp=tranqui,RT_popular=muy muchos} => {difusion=alta}",0.0245066506194103,0.469956227616395,0.0521466663899898,1.8050259476418,2362,0.722962749477628
"{1_resp=tranqui,adherencia=alta} => {difusion=alta}",0.0254611856985744,0.359244620114185,0.0708742296279388,1.37980054896969,2454,0.619693936412066
"{1_resp=tranqui,retweet_es_finde=Laborable} => {difusion=alta}",0.0288746861447158,0.295906432748538,0.0975804610819448,1.1365288037447,2783,0.494671459200404
"{1_resp=tranqui,n_char=largo} => {difusion=alta}",0.0303064887634621,0.338078703703704,0.0896432943910689,1.29850568344506,2921,0.533995391555512
"{1_resp=tranqui,fecha_inicio_T_momento=Noche} => {difusion=alta}",0.0313336515116931,0.312532339853048,0.100257309456123,1.20038622697523,3020,0.4862148281186
"{1_resp=tranqui,polaridad=Neutro} => {difusion=alta}",0.0268722375547301,0.272746419545072,0.0985246207798137,1.04757493458967,2590,0.4874375
"{1_resp=tranqui,retweet_es_finde=Finde} => {difusion=alta}",0.030659251727501,0.299361766791612,0.102415388765537,1.14980018358608,2955,0.475570134333021
"{1_resp=desde el pasado,RT_popular=muchos} => {difusion=alta}",0.0216949222883941,0.499880468563232,0.0434002199580835,1.9199601227808,2091,0.769182667549474
"{1_resp=desde el pasado,retweet_source=Twitter for iPhone} => {difusion=alta}",0.0263845946338528,0.514777327935223,0.0512543835985972,1.97717655300281,2543,0.733112655050744
"{1_resp=desde el pasado,retweet_verified=Verificados} => {difusion=alta}",0.0215600423315557,0.586839875741316,0.0367392251665249,2.25395715723677,2078,0.811575102609481
"{1_resp=desde el pasado,polaridad=Negativo} => {difusion=alta}",0.0204913780581436,0.436753648827952,0.0469174742171775,1.67750020647707,1975,0.744256720089722
"{1_resp=desde el pasado,polaridad=Positivo} => {difusion=alta}",0.0216222946193273,0.424959216965742,0.0508808698719678,1.63219969911501,2084,0.723292971268897
"{1_resp=desde el pasado,RT_popular=muy muchos} => {difusion=alta}",0.0330040879002303,0.683204467353952,0.0483077753107427,2.62407798567421,3181,0.769242350107268
"{1_resp=desde el pasado,adherencia=alta} => {difusion=alta}",0.0226909588927393,0.355378615534612,0.063850096491046,1.36495184994249,2187,0.651732562540862
"{1_resp=desde el pasado,n_char=corto} => {difusion=alta}",0.024454773712934,0.416799292661362,0.05867278122471,1.60085874811857,2357,0.684664694280079
"{1_resp=desde el pasado,retweet_source=Twitter for Android} => {difusion=alta}",0.0292585752526405,0.421966182852013,0.06933867319624,1.62070393861651,2820,0.635804814034603
