"rules","support","confidence","coverage","lift","count"
"{1_resp=desde el pasado,retweet_es_finde=Finde} => {n_char=largo}",0.0772654645058206,0.490579710144928,0.157498288062086,1.13065959547546,7447
"{1_resp=desde el pasado,retweet_verified=Sin verificar} => {n_char=largo}",0.0767051939158764,0.469754733765409,0.163287750824843,1.08266340060206,7393
"{1_resp=hace un ratín,RT_popular=muchos} => {n_char=largo}",0.0202319935257621,0.507944777285751,0.0398310887925131,1.17068159268168,1950
"{1_resp=hace un ratín,retweet_source=Twitter Web App} => {n_char=largo}",0.0249735427776971,0.532993799822852,0.0468552219294059,1.22841312356886,2407
"{1_resp=hace un ratín,difusion=baja} => {n_char=largo}",0.0223589466912909,0.455795262267343,0.0490548027640016,1.0504904222447,2155
"{1_resp=hace un ratín,polaridad=Negativo} => {n_char=largo}",0.0266336037849391,0.512784658409908,0.0519391587640846,1.18183626932408,2567
"{1_resp=hace un ratín,polaridad=Positivo} => {n_char=largo}",0.0262185885331286,0.514978601997147,0.0509119960158536,1.18689274295629,2527
"{1_resp=hace un ratín,RT_popular=amigos medios} => {n_char=largo}",0.0263742192525575,0.470305272895467,0.0560789359008944,1.08393225118274,2542
"{1_resp=hace un ratín,difusion=alta} => {n_char=largo}",0.0332945985764977,0.508961141950833,0.0654167790666307,1.17302405087413,3209
"{1_resp=hace un ratín,adherencia=intermedia} => {n_char=largo}",0.0271316220871117,0.471425996033892,0.0575522400448217,1.08651522871754,2615
"{1_resp=hace un ratín,adherencia=alta} => {n_char=largo}",0.0321014297275425,0.477985478139966,0.0671598431242348,1.1016331417319,3094
"{1_resp=hace un ratín,RT_popular=pocos} => {n_char=largo}",0.0269967421302733,0.450875064980073,0.0598763254549605,1.03915063757884,2602
"{1_resp=hace un ratín,retweet_source=Twitter for Android} => {n_char=largo}",0.033346475482974,0.480562200956938,0.0693905501027163,1.10757182267944,3214
"{1_resp=hace un ratín,fecha_inicio_T_momento=Tarde} => {n_char=largo}",0.0380361478284327,0.488474350433045,0.0778672366209458,1.12580728480924,3666
"{1_resp=hace un ratín,retweet_es_finde=Finde} => {n_char=largo}",0.0643896163183997,0.480489315577578,0.134008424809612,1.10740384069438,6206
"{1_resp=hace un ratín,retweet_verified=Sin verificar} => {n_char=largo}",0.074080222448175,0.461568297886095,0.160496773256417,1.06379577911613,7140
"{retweet_source=Twitter for iPhone,RT_popular=muchos} => {n_char=largo}",0.0236869954970845,0.464874770922419,0.0509534975410346,1.0714163459443,2283
"{retweet_verified=Verificados,RT_popular=muchos} => {n_char=largo}",0.0231889771949119,0.486504135829343,0.0476645016704364,1.12126644873153,2235
"{retweet_source=Twitter Web App,RT_popular=muchos} => {n_char=largo}",0.0286671785188106,0.550617776006377,0.0520636633396277,1.26903183928469,2763
"{difusion=baja,RT_popular=muchos} => {n_char=largo}",0.0216222946193273,0.463626251390434,0.0466373389222054,1.06853883071123,2084
"{polaridad=Negativo,RT_popular=muchos} => {n_char=largo}",0.0244236475690482,0.519073869900772,0.0470523541740159,1.19633127833703,2354
"{polaridad=Positivo,RT_popular=muchos} => {n_char=largo}",0.0274117573820838,0.532017720499396,0.0515241435122741,1.22616351268975,2642
"{difusion=alta,RT_popular=muchos} => {n_char=largo}",0.0343010105621382,0.519729602263795,0.0659978004191654,1.1978425721655,3306
"{adherencia=intermedia,RT_popular=muchos} => {n_char=largo}",0.0238945031229898,0.486789262312408,0.0490859289078874,1.12192359167351,2303
"{adherencia=alta,RT_popular=muchos} => {n_char=largo}",0.0331908447635451,0.502987421383648,0.0659874250378701,1.15925616700062,3199
"{retweet_source=Twitter for Android,RT_popular=muchos} => {n_char=largo}",0.0267581083604822,0.481246501212913,0.0556016683613123,1.10914895812676,2579
